customer_id,customer_name,customer_age,gender,order_count,orders_returned,total_churn,tenure_days,average_total_per_cart,total_qty_purchased,total_spent_historic
19914,Adam Smith,23,Male,4,0.0,0,1272,147.75,10,14503
31741,Amanda Barber,24,Female,8,5.0,0,1057,219.375,33,23233
39143,Frances Walsh,53,Male,5,1.0,0,1260,309.6,13,9460
29334,Dennis Douglas,47,Male,5,1.0,5,1232,265,14,12077
30534,Austin Bush,37,Female,11,5.0,0,1114,278.72727272727275,36,34002
25705,Laura Rhodes,61,Female,10,6.0,10,1186,229.3,33,28189
3375,Tina Douglas,36,Female,3,0.0,0,486,211,7,6839
13439,Tina Wheeler,25,Male,5,3.0,0,498,282.2,17,7156
20116,Timothy Davis,48,Female,5,1.0,0,1317,179.2,20,14794
3014,Terry Andrews,57,Female,4,0.0,0,453,320.5,11,7468
43795,Alyssa Reed,28,Female,6,3.0,6,872,214.33333333333334,21,19649
44340,Steven Flowers,67,Male,5,4.0,0,599,285.6,14,18770
46903,Nicholas Allen,68,Female,4,1.0,0,989,368,13,7225
37093,Earl Valentine,19,Female,6,4.0,0,1113,301.3333333333333,16,20957
11536,Mitchell Nelson,30,Male,12,5.0,0,1282,210.16666666666666,37,27088
5388,Frederick Lawson,38,Male,5,3.0,0,1009,236.8,18,10054
30382,Monica Erickson,19,Female,8,3.0,0,1231,187.75,34,20082
6327,Donald Johnson,35,Female,5,1.0,0,954,246.4,15,19864
33228,Rita Huang,23,Male,10,5.0,10,1253,216.2,23,27630
36729,Christian Hale,36,Female,6,3.0,0,790,206,21,20037
25755,Denise Baldwin,56,Female,6,3.0,0,922,319.6666666666667,16,19312
13899,Holly Davis,69,Male,3,1.0,0,509,164.66666666666666,7,5791
43789,Ray Nelson,44,Male,7,0.0,0,1335,302.7142857142857,20,21649
23225,Shannon Hansen,44,Male,7,5.0,0,1279,267.7142857142857,22,21467
45139,Alex Kirby,31,Male,6,1.0,6,864,272.3333333333333,24,21315
1992,Brian Burke,21,Female,6,4.0,0,656,243.16666666666666,13,10449
3979,Frederick Wiggins,32,Female,4,2.0,4,542,160.75,11,8468
21891,Lee Garcia,42,Female,10,2.0,0,1256,285.8,33,28936
27659,Pamela Rollins,60,Male,10,5.0,0,1160,211.2,26,32853
46688,Brittany Bass,42,Male,8,3.0,8,906,235.375,30,19872
10875,Daniel Wang,22,Male,7,4.0,0,1179,345,17,15023
8493,Carrie Dillon,48,Male,5,4.0,0,903,342.2,12,14475
35296,Andrea Green,68,Female,6,1.0,0,703,283.5,22,12705
49627,Angela Collins,31,Female,6,3.0,0,647,248.5,17,9415
38481,Angela Alvarez,48,Female,9,2.0,0,1003,252.11111111111111,25,26139
19594,Lori Foster,35,Female,4,1.0,0,886,285,13,3853
20795,Elizabeth Wright,66,Male,7,4.0,0,1201,312,24,17244
31347,Kevin Ramirez,21,Male,7,3.0,0,1157,374,23,18251
48784,Leonard Benton,29,Female,3,2.0,0,160,417.6666666666667,11,9102
20842,Elizabeth Yang,38,Female,10,2.0,10,1119,209.7,35,41501
25759,Michele Moore,18,Male,4,3.0,0,697,317.75,15,5211
17227,Jill Todd,36,Male,6,1.0,0,1061,220,13,12930
36934,Christopher Martin DDS,45,Female,5,1.0,0,878,269.4,17,12319
40407,Jeanne Garrison,68,Male,6,1.0,0,897,313.3333333333333,19,18965
399,Lori Gonzales,38,Male,7,3.0,0,1209,243.42857142857142,20,17086
27794,Mark Anderson,43,Male,4,2.0,0,434,220.25,14,6619
14885,Kimberly Allison,43,Female,7,3.0,7,1148,336.57142857142856,29,20150
42679,Melissa James,38,Female,7,4.0,0,1214,274.2857142857143,18,21876
21730,Rebecca Barnes,41,Female,5,2.0,5,1122,258.6,17,11646
2216,Maria Hansen,51,Female,6,4.0,6,414,376.3333333333333,18,18176
44581,Michael Welch,40,Female,9,5.0,0,724,289.55555555555554,29,22970
3617,Dr. Nicole Smith,55,Male,6,2.0,6,981,351.8333333333333,16,13014
18772,Scott Brady,46,Female,6,4.0,6,1310,324.5,20,19808
41697,Timothy Robertson,43,Female,6,4.0,0,459,254.33333333333334,20,20218
48970,Michael Bullock,63,Female,4,2.0,0,638,374.5,16,9034
4622,Jessica Lopez,70,Female,7,2.0,7,1229,263.57142857142856,24,16978
37600,Mr. Geoffrey Burgess Jr.,58,Male,4,0.0,4,804,291.25,17,15150
46209,Sarah Gutierrez,31,Female,6,2.0,0,795,278.3333333333333,13,16430
25988,Samuel Carpenter,63,Female,6,3.0,0,883,234.33333333333334,14,12776
31416,Ronald Adams,54,Male,6,2.0,0,602,252.66666666666666,22,11470
46565,Ryan Long,44,Male,4,0.0,4,1178,251.75,7,11963
38578,James Lee,66,Female,2,1.0,2,217,179,9,3004
43980,Melissa Huff,43,Female,3,2.0,0,270,213,11,5011
38730,Leonard Roberts,52,Male,9,5.0,9,794,259.22222222222223,22,28248
40261,Johnny Scott,35,Female,3,0.0,0,103,341,7,8184
7286,Justin Lewis,59,Female,4,2.0,0,738,244.75,8,7362
853,Kenneth Prince,24,Female,3,1.0,0,1196,205,11,8330
2907,Ashley Lopez,22,Male,1,0.0,0,0,401,5,2797
27517,Debbie Merritt,58,Male,4,1.0,0,688,357.5,16,10647
13989,William Valdez,27,Female,5,2.0,5,819,222.2,19,10726
32157,Craig Foley,33,Male,3,1.0,0,452,390,4,5661
28452,John Greene,18,Female,3,1.0,0,895,157.33333333333334,14,3739
31766,Brittney Maldonado,41,Male,5,3.0,0,978,233.4,16,9796
4650,Denise Hopkins,37,Male,3,3.0,0,322,209.33333333333334,5,9040
743,Joseph Salazar,67,Female,6,3.0,0,1008,279.8333333333333,19,17035
35826,Brett Dickson,21,Female,6,2.0,0,993,263.1666666666667,15,13052
3232,Abigail Torres,28,Male,5,3.0,0,899,242.4,22,16210
27467,Taylor Banks,56,Female,5,2.0,5,1252,204,21,16253
29411,Kelli Brown,56,Male,8,3.0,8,1135,242.375,27,23593
12280,Albert Saunders,64,Male,3,2.0,0,941,321.3333333333333,8,9488
41169,Debra Welch,58,Female,5,3.0,5,1204,311.2,22,15406
45598,Jasmine Hernandez,57,Male,5,2.0,0,961,283,14,9897
31443,Mrs. Kathryn Nicholson,51,Male,5,2.0,0,1025,289,12,16134
37085,James Young,48,Female,8,4.0,8,1115,224.125,24,16951
41301,Benjamin Wall,32,Female,5,2.0,0,724,333.2,22,12476
48465,Laura Reyes,70,Female,7,5.0,7,1245,322,15,23075
7308,Mrs. Erica Rodriguez,37,Male,9,4.0,9,1155,346.8888888888889,29,27607
236,Christopher Williams,23,Male,7,0.0,0,996,339.85714285714283,22,18070
20403,John Graham,59,Male,5,2.0,0,530,259.2,8,8143
46188,Dr. Jamie Williams,23,Male,7,3.0,0,1191,259.57142857142856,20,24492
9037,Stephen Hughes,62,Male,4,2.0,0,979,312.5,15,7859
12590,Daniel Young,22,Female,5,2.0,5,1287,314.4,19,11234
40952,Gary Baker,38,Male,8,5.0,0,1073,291.25,28,16488
47649,Matthew Brooks,53,Female,4,1.0,0,1233,138.5,13,8240
17994,Sarah Waters,55,Female,8,3.0,8,1076,190.375,23,27855
36139,Terry Cohen,41,Female,4,1.0,4,691,238.25,19,13119
37945,Susan Scott,61,Male,6,2.0,0,1075,193.16666666666666,16,8282
41283,Emily Taylor,62,Female,5,2.0,0,865,238.6,14,13167
47535,Samantha Berry,37,Female,5,2.0,0,517,148.8,21,9036
33389,Amanda Mccullough,67,Female,4,2.0,4,1236,198.5,12,15431
