customer_id,customer_name,customer_age,gender,order_count,orders_returned,total_churn,tenure_days,average_total_per_cart,total_qty_purchased,total_spent_historic,payment_creditcard,payment_debit,payment_crypto,payment_paypal,payment_cash,cat_electronics,cat_home,cat_clothing,cat_books
13989,William Valdez,27,Female,5,2.0,5,819,222.2,19,10726,1,0,1,2,1,3,1,0,1
41960,Paula Roman,38,Female,5,3.0,0,816,344.2,17,13685,3,0,0,1,1,2,1,0,2
32157,Craig Foley,33,Male,3,1.0,0,452,390,4,5661,1,0,0,2,0,0,1,0,2
11646,Jamie Carpenter,45,Male,9,3.0,0,1193,272,24,23064,3,0,2,2,2,2,1,4,2
39735,Alexander Garrett,18,Male,7,4.0,0,934,266.85714285714283,22,20286,4,0,1,2,0,1,0,1,5
28452,John Greene,18,Female,3,1.0,0,895,157.33333333333334,14,3739,1,0,0,2,0,1,0,0,2
18591,Stephanie Walters,45,Female,7,4.0,0,1012,359.57142857142856,25,10474,2,0,0,1,4,2,1,3,1
31766,Brittney Maldonado,41,Male,5,3.0,0,978,233.4,16,9796,1,0,0,2,2,1,0,3,1
16600,Linda Romero,33,Male,4,3.0,0,856,223.25,10,10376,1,0,0,2,1,0,1,2,1
4650,Denise Hopkins,37,Male,3,3.0,0,322,209.33333333333334,5,9040,2,0,0,0,1,0,1,1,1
45992,Fernando King,31,Female,5,1.0,0,768,180.8,9,15869,3,0,0,0,2,0,0,5,0
743,Joseph Salazar,67,Female,6,3.0,0,1008,279.8333333333333,19,17035,3,0,0,2,1,1,0,4,1
44519,Adam Johnson,24,Male,5,5.0,5,943,195.4,13,9657,3,0,1,1,0,1,1,1,2
35826,Brett Dickson,21,Female,6,2.0,0,993,263.1666666666667,15,13052,3,0,1,1,1,4,1,0,1
13762,Kevin Webb,68,Female,4,4.0,0,446,262,8,15326,2,0,0,0,2,0,0,2,2
3232,Abigail Torres,28,Male,5,3.0,0,899,242.4,22,16210,4,0,0,0,1,2,2,0,1
6955,Eduardo Powers,61,Female,4,1.0,0,320,267,15,11971,2,0,2,0,0,1,0,3,0
27467,Taylor Banks,56,Female,5,2.0,5,1252,204,21,16253,3,0,0,1,1,0,1,3,1
23418,Rachel Chapman,38,Female,6,1.0,0,1141,359.5,18,15060,2,0,0,3,1,1,1,1,3
29411,Kelli Brown,56,Male,8,3.0,8,1135,242.375,27,23593,5,0,0,3,0,2,1,4,1
43195,Ronald Cruz,39,Male,6,4.0,0,887,147.5,18,14609,2,0,0,3,1,0,0,3,3
12280,Albert Saunders,64,Male,3,2.0,0,941,321.3333333333333,8,9488,1,0,0,0,2,0,0,1,2
17342,Heather Cox,33,Female,5,4.0,0,802,298.4,22,17700,1,0,0,3,1,0,2,2,1
