customer_id,customer_name,MonetaryScore,RecencyScore,FrequencyScore,RFMScore,Value
13989,William Valdez,2,3,3,8,Med
32157,Craig Foley,1,5,1,7,Low
28452,John Greene,1,5,1,7,Low
31766,Brittney Maldonado,2,3,3,8,Med
4650,Denise Hopkins,2,5,1,8,Med
743,Joseph Salazar,4,2,4,10,High
35826,Brett Dickson,3,2,4,9,Med
3232,Abigail Torres,4,3,3,10,High
27467,Taylor Banks,4,3,3,10,High
29411,Kelli Brown,5,1,5,11,High
12280,Albert Saunders,2,5,1,8,Med
41169,Debra Welch,4,3,3,10,High
45598,Jasmine Hernandez,2,3,3,8,Med
31443,Mrs. Kathryn Nicholson,4,3,3,10,High
37085,James Young,4,1,5,10,High
41301,Benjamin Wall,3,3,3,9,Med
48465,Laura Reyes,5,2,4,11,High
7308,Mrs. Erica Rodriguez,5,1,5,11,High
236,Christopher Williams,4,2,4,10,High
20403,John Graham,2,3,3,8,Med
46188,Dr. Jamie Williams,5,2,4,11,High
9037,Stephen Hughes,2,4,2,8,Med
12590,Daniel Young,2,3,3,8,Med
40952,Gary Baker,4,1,5,10,High
47649,Matthew Brooks,2,4,2,8,Med
17994,Sarah Waters,5,1,5,11,High
36139,Terry Cohen,3,4,2,9,Med
37945,Susan Scott,2,2,4,8,Med
41283,Emily Taylor,3,3,3,9,Med
47535,Samantha Berry,2,3,3,8,Med
33389,Amanda Mccullough,4,4,2,10,High
11818,Joseph Perez,4,4,2,10,High
42258,Brittany Moore,3,5,1,9,Med
131,Stephanie Burch,5,1,5,11,High
12521,Maria Schultz,4,3,3,10,High
31837,Aimee Johnson,5,2,4,11,High
17084,Samuel Barnes,4,3,3,10,High
3349,Dylan Benjamin,4,4,2,10,High
24187,Kathleen Rodriguez,5,2,4,11,High
11561,Anthony Long,5,1,5,11,High
26112,Lisa Crawford,4,2,4,10,High
3781,Justin Logan,1,4,2,7,Low
19644,Marilyn Morales,2,4,2,8,Med
46251,Christine Hernandez,2,4,2,8,Med
7896,Mason Ramirez,5,2,4,11,High
8946,Courtney Lane,4,2,4,10,High
41367,Linda Owens,3,3,3,9,Med
7203,Marcus Wilson,4,1,5,10,High
44196,Nathan Nguyen,2,5,1,8,Med
5975,Alexa Cox,4,3,3,10,High
26780,Paul Collier,3,3,3,9,Med
47229,Randall Hensley Jr.,1,5,1,7,Low
36426,Richard Spencer,3,2,4,9,Med
8430,Kimberly Bailey,5,1,5,11,High
33807,Jeffrey Burgess,5,1,5,11,High
11507,Marilyn Ramirez,1,5,1,7,Low
2481,Kim Kennedy,1,5,1,7,Low
29093,Holly Jones,5,1,5,11,High
47143,Mary Thomas,5,1,5,11,High
14931,Sandra Young,1,5,1,7,Low
41456,Adam Smith,5,1,5,11,High
22163,Nathan Brown,2,4,2,8,Med
7107,Alexandra Green,2,3,3,8,Med
9744,Robert Romero,5,1,5,11,High
8046,Elizabeth Williams,5,2,4,11,High
3913,Brian Perry,5,2,4,11,High
1917,Eric Johnson,5,2,4,11,High
8083,Christopher Phelps,2,5,1,8,Med
28143,Julie Newman,2,5,1,8,Med
41353,Scott Brown,4,2,4,10,High
9550,William Tran,4,4,2,10,High
46001,Lisa Chambers,5,1,5,11,High
18557,Kristen Miller,3,2,4,9,Med
43234,Lori Chang,5,1,5,11,High
13802,Jonathan Schroeder,5,1,5,11,High
9934,Courtney Maynard,5,1,5,11,High
506,Mark Smith,4,1,5,10,High
44833,Angelica Carter,4,3,3,10,High
41515,Matthew Davis,5,1,5,11,High
3960,Carlos Rice,1,5,1,7,Low
44878,Randall Fuller,2,4,2,8,Med
25709,Robin Fisher,3,2,4,9,Med
6679,Alyssa Anderson,4,2,4,10,High
3904,Sandra Randall,4,2,4,10,High
23192,Kimberly Matthews,5,1,5,11,High
10495,Timothy Carson,4,2,4,10,High
41960,Paula Roman,3,3,3,9,Med
11646,Jamie Carpenter,5,1,5,11,High
39735,Alexander Garrett,5,2,4,11,High
18591,Stephanie Walters,2,2,4,8,Med
16600,Linda Romero,2,4,2,8,Med
45992,Fernando King,4,3,3,10,High
44519,Adam Johnson,2,3,3,8,Med
13762,Kevin Webb,4,4,2,10,High
