Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn,Age Range,Purchase Count,Customer Type
46251,9/8/20 9:38,Electronics,12,3,740,Credit Card,37,0.0,Christine Hernandez,37,Male,0,35-44,4,Bronze
46251,3/5/22 12:56,Home,468,4,2739,PayPal,37,0.0,Christine Hernandez,37,Male,0,35-44,4,Bronze
46251,5/23/22 18:18,Home,288,2,3196,PayPal,37,0.0,Christine Hernandez,37,Male,0,35-44,4,Bronze
46251,11/12/20 13:13,Clothing,196,1,3509,PayPal,37,0.0,Christine Hernandez,37,Male,0,35-44,4,Bronze
13593,11/27/20 17:55,Home,449,1,3452,Credit Card,49,0.0,James Grant,49,Female,1,45-54,5,Bronze
13593,3/7/23 14:17,Home,250,4,575,PayPal,49,1.0,James Grant,49,Female,1,45-54,5,Bronze
13593,4/15/23 3:02,Electronics,73,1,1896,Credit Card,49,0.0,James Grant,49,Female,1,45-54,5,Bronze
13593,3/27/21 21:23,Books,337,2,2937,Cash,49,0.0,James Grant,49,Female,1,45-54,5,Bronze
13593,5/5/20 20:14,Clothing,182,2,3363,PayPal,49,1.0,James Grant,49,Female,1,45-54,5,Bronze
28805,9/13/23 4:24,Electronics,394,2,1993,Credit Card,19,0.0,Jose Collier,19,Male,0,18-24,6,Bronze
28805,3/31/21 9:50,Clothing,366,1,246,PayPal,19,0.0,Jose Collier,19,Male,0,18-24,6,Bronze
28805,1/18/21 22:42,Books,348,1,2682,Credit Card,19,1.0,Jose Collier,19,Male,0,18-24,6,Bronze
28805,1/7/20 12:57,Books,103,4,731,Cash,19,0.0,Jose Collier,19,Male,0,18-24,6,Bronze
28805,2/12/21 20:33,Books,240,1,2563,PayPal,19,0.0,Jose Collier,19,Male,0,18-24,6,Bronze
28805,7/2/20 2:54,Clothing,368,1,1342,Credit Card,19,,Jose Collier,19,Male,0,18-24,6,Bronze
28961,4/25/21 23:55,Books,30,1,4135,PayPal,55,,James Stein,55,Male,0,55-64,5,Bronze
28961,1/13/20 9:57,Books,153,5,698,Credit Card,55,0.0,James Stein,55,Male,0,55-64,5,Bronze
28961,6/18/23 21:34,Clothing,259,1,2975,Credit Card,55,0.0,James Stein,55,Male,0,55-64,5,Bronze
28961,9/10/21 0:39,Books,489,3,2213,Credit Card,55,1.0,James Stein,55,Male,0,55-64,5,Bronze
28961,6/1/23 19:07,Books,232,3,4452,PayPal,55,1.0,James Stein,55,Male,0,55-64,5,Bronze
12163,12/18/21 17:49,Clothing,255,2,1642,Credit Card,67,,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,6/20/20 5:56,Books,227,3,887,PayPal,67,,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,7/8/23 13:36,Clothing,288,2,1405,PayPal,67,0.0,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,7/1/23 12:36,Books,60,3,4130,Cash,67,,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,11/16/22 8:56,Home,285,4,384,Crypto,67,,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,4/7/20 4:24,Books,100,5,1273,Cash,67,0.0,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,11/28/20 16:48,Electronics,28,4,495,Credit Card,67,0.0,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,8/21/20 9:23,Electronics,382,2,1532,PayPal,67,1.0,Sonia Moreno,67,Male,0,65 and above,9,Silver
12163,4/24/23 23:55,Home,400,5,1673,Credit Card,67,1.0,Sonia Moreno,67,Male,0,65 and above,9,Silver
28248,4/9/23 1:33,Clothing,410,1,445,Cash,48,,Kelly Ramirez,48,Male,1,45-54,7,Bronze
28248,4/26/20 21:19,Books,70,5,1037,PayPal,48,0.0,Kelly Ramirez,48,Male,1,45-54,7,Bronze
28248,9/12/23 20:36,Home,243,3,2516,PayPal,48,0.0,Kelly Ramirez,48,Male,1,45-54,7,Bronze
28248,6/25/21 14:52,Home,131,4,2019,PayPal,48,0.0,Kelly Ramirez,48,Male,1,45-54,7,Bronze
28248,11/24/21 7:13,Home,327,1,1496,Cash,48,,Kelly Ramirez,48,Male,1,45-54,7,Bronze
28248,9/22/22 17:12,Books,405,3,1687,PayPal,48,1.0,Kelly Ramirez,48,Male,1,45-54,7,Bronze
28248,8/3/21 9:41,Electronics,219,2,468,PayPal,48,0.0,Kelly Ramirez,48,Male,1,45-54,7,Bronze
6761,11/29/21 12:56,Books,218,5,3034,Credit Card,46,0.0,Johnny Peterson,46,Female,0,45-54,4,Bronze
